entry_date,exit_date,exit_reason,ivp,vix,regime,trend,exit_pnl,pnl_pct,contracts,total_bp,gate_status,vix_bucket
2008-04-10,2008-04-23,roll_21dte,48.6,21.98,NORMAL,BULLISH,3330.6076738807415,46.50273673104897,5.9324,22500.0,ALLOWED (43-54),3. VIX 18-22
2010-11-29,2010-12-10,roll_21dte,43.4,21.53,NORMAL,BULLISH,6222.570992164717,86.27310185143816,6.9099,22500.0,ALLOWED (43-54),3. VIX 18-22
2011-03-07,2011-03-18,roll_21dte,48.2,20.66,NORMAL,BULLISH,-3573.5473038674554,-50.34969392259736,6.4342,22500.0,ALLOWED (43-54),3. VIX 18-22
2011-07-25,2011-08-04,stop_loss,57.4,19.35,NORMAL,BULLISH,-15119.963374614801,-213.2400567804966,6.8815,22500.0,BLOCKED (≥55),3. VIX 18-22
2011-12-21,2012-01-05,roll_21dte,55.8,21.43,NORMAL,BULLISH,4213.750867623972,59.06747927943739,6.5853,22500.0,BLOCKED (≥55),3. VIX 18-22
2012-02-10,2012-02-24,roll_21dte,47.0,20.79,NORMAL,BULLISH,4369.717994647904,61.63050522321314,6.2958,22500.0,ALLOWED (43-54),3. VIX 18-22
2012-03-06,2012-03-19,roll_21dte,48.6,20.87,NORMAL,BULLISH,6772.271326996436,94.50473546676113,6.3119,22500.0,ALLOWED (43-54),3. VIX 18-22
2012-12-19,2013-01-03,roll_21dte,48.2,17.36,NORMAL,BULLISH,4454.1500960303065,64.00041562649048,7.0142,22500.0,ALLOWED (43-54),2. VIX 15-18
2013-09-27,2013-10-10,roll_21dte,64.5,15.46,NORMAL,BULLISH,583.878691194004,8.439657546015011,6.686,22500.0,BLOCKED (≥55),2. VIX 15-18
2015-02-19,2015-03-04,roll_21dte,69.3,15.29,NORMAL,BULLISH,1543.097750374691,22.391431312708885,5.3439,22500.0,BLOCKED (≥55),2. VIX 15-18
2015-03-06,2015-03-19,roll_21dte,68.9,15.2,NORMAL,BULLISH,2969.1142703701557,42.86375933998705,5.4494,22500.0,BLOCKED (≥55),2. VIX 15-18
