entry_date,exit_date,hold_days,vix_at_entry,vix_at_exit,equal_bp,v3a_contracts_adj,bps_pnl_adj,v3a_pnl_adj,bps_dollar_bp_day,v3a_dollar_bp_day,pnl_diff_v3a_minus_bps,v3a_wins
2009-11-10,2009-11-25,15,22.8400,20.4800,22921.4700,0.5443,2792.9600,1265.0073,81.2327,36.7925,-1527.9527,False
2011-10-11,2011-10-21,10,32.8600,31.3200,24022.5300,0.4955,2727.2900,403.5298,113.5305,16.7980,-2323.7602,False
2011-10-24,2011-11-11,18,29.2600,30.0400,23030.8000,0.5125,2165.6600,1048.9124,52.2407,25.3022,-1116.7476,False
2011-11-11,2011-12-02,21,30.0400,27.5200,22920.9600,0.5088,1976.2300,1608.4895,41.0568,33.4169,-367.7405,False
2011-12-08,2011-12-22,14,30.5900,21.1600,23184.5100,0.5062,3497.4700,1901.2216,107.7527,58.5743,-1596.2484,False
2020-04-27,2020-05-11,14,33.2900,27.5700,23591.6900,0.4935,3076.7900,1486.4781,93.1560,45.0061,-1590.3119,False
2020-05-11,2020-05-27,16,27.5700,27.6200,23285.5300,0.5207,3080.8700,480.8464,82.6927,12.9063,-2600.0236,False
2020-05-27,2020-06-05,9,27.6200,24.5200,23223.4000,0.5205,3318.4500,5.0123,158.7695,0.2398,-3313.4377,False
2020-06-05,2020-06-25,20,24.5200,32.2200,23106.4400,0.5358,-2329.5000,212.9200,-50.4080,4.6074,2542.4200,True
2020-06-25,2020-07-06,11,32.2200,27.9400,23484.0300,0.4985,3018.4400,978.3606,116.8469,37.8733,-2040.0794,False
2020-07-07,2020-07-20,13,29.4300,24.4600,23647.8700,0.5117,3408.7700,1192.7685,110.8823,38.7990,-2216.0015,False
2020-11-06,2020-11-23,17,24.8600,22.6600,23360.4800,0.5341,3056.3600,1312.5876,76.9616,33.0520,-1743.7724,False
2021-03-10,2021-03-26,16,22.5600,18.8600,22774.9900,0.5457,3171.6900,1499.9460,87.0387,41.1621,-1671.7440,False
2022-03-22,2022-04-11,20,22.9400,24.3700,23057.2700,0.5438,1.6700,1130.1611,0.0362,24.5077,1128.4911,True
2025-05-02,2025-05-13,11,22.6800,18.2200,23257.9200,0.5451,3422.8800,944.3202,133.7914,36.9110,-2478.5598,False
